Number of packages received,Response time [ms]
1,39
2,38
3,37
4,37
5,38
6,37
7,37
8,37
9,39
10,37
11,37
12,37
13,37
14,37
15,38
16,37
17,37
18,37
19,38
20,37
21,37
22,37
23,37
24,37
25,38
26,37
27,37
28,37
29,37
30,37
31,38
32,37
33,38
34,37
35,37
36,37
37,37
38,37
39,37
40,37
41,37
42,37
43,38
44,37
45,37
46,36
47,38
48,37
49,37
50,37
51,37
52,37
53,37
54,37
55,37
56,37
57,37
58,36
59,37
60,37
61,37
62,37
63,36
64,37
65,38
66,37
67,33
68,31
69,31
70,31
71,31
72,30
73,31
74,31
75,31
76,31
77,30
78,31
79,31
80,30
81,31
82,31
83,30
84,31
85,31
86,32
87,31
88,31
89,30
90,31
91,31
92,30
93,31
94,31
95,31
96,30
97,31
98,31
99,31
100,31
101,31
102,31
103,31
104,31
105,30
106,31
107,31
108,31
109,31
110,31
111,31
112,31
113,30
114,31
115,32
116,31
117,31
118,32
119,31
120,30
121,31
122,30
123,31
124,31
125,31
126,31
127,31
128,31
129,30
130,30
131,31
132,31
133,30
134,31
135,30
136,31
137,30
138,30
139,30
140,31
141,30
142,30
143,31
144,31
145,31
146,31
147,31
148,31
149,31
150,31
151,31
152,31
153,31
154,31
155,30
156,31
157,30
158,30
159,30
160,31
161,31
162,30
163,30
164,31
165,30
166,31
167,30
168,31
169,31
170,31
171,31
172,31
173,31
174,30
175,30
176,31
177,30
178,31
179,31
180,30
181,30
182,30
183,30
184,31
185,31
186,30
187,31
188,31
189,31
190,30
191,30
192,31
193,30
194,31
195,31
196,31
197,31
198,30
199,31
200,30
201,31
202,30
203,31
204,30
205,30
206,31
207,30
208,31
209,31
210,31
211,31
212,31
213,30
214,31
215,31
216,31
217,31
218,31
219,31
220,31
221,31
222,31
223,31
224,30
225,31
226,31
227,30
228,30
229,30
230,31
231,31
232,30
233,30
234,30
235,30
236,31
237,31
238,31
239,30
240,30
241,30
242,31
243,30
244,31
245,31
246,31
247,31
248,31
249,30
250,31
251,31
252,30
253,30
254,31
255,31
256,30
257,31
258,30
259,30
260,31
261,30
262,31
263,31
264,31
265,30
266,31
267,30
268,30
269,30
270,31
271,31
272,30
273,31
274,31
275,31
276,31
277,30
278,30
279,30
280,31
281,31
282,31
283,31
284,31
285,31
286,31
287,30
288,31
289,31
290,30
291,30
292,31
293,31
294,30
295,31
296,30
297,30
298,30
299,30
300,31
301,30
302,31
303,31
304,30
305,30
306,30
307,30
308,30
309,31
310,31
311,31
312,31
313,35
314,37
315,36
316,36
317,37
318,37
319,37
320,37
321,37
322,37
323,37
324,37
325,36
326,37
327,37
328,37
329,37
330,37
331,37
332,37
333,37
334,37
335,37
336,37
337,36
338,37
339,37
340,37
341,37
342,37
343,38
344,38
345,38
346,37
347,37
348,37
349,37
350,37
351,37
352,37
353,36
354,36
355,37
356,37
357,37
358,37
359,37
360,37
361,37
362,37
363,37
364,37
365,37
366,38
367,37
368,36
369,37
370,36
371,37
372,37
373,37
374,37
375,37
376,37
377,37
378,38
379,38
380,37
381,37
382,37
383,37
384,37
385,37
386,38
387,38
388,37
389,37
390,36
391,36
392,37
393,37
394,37
395,37
396,37
397,31
398,31
399,32
400,31
401,31
402,31
403,31
404,31
405,31
406,31
407,31
408,31
409,31
410,31
411,32
412,31
413,32
414,31
415,31
416,31
417,31
418,32
419,31
420,31
421,31
422,30
423,31
424,31
425,31
426,31
427,31
428,31
429,31
430,31
431,31
432,31
433,31
434,32
435,31
436,31
437,31
438,31
439,31
440,31
441,31
442,32
443,37
444,38
445,37
446,37
447,37
448,38
449,37
450,36
451,37
452,37
453,38
454,38
455,38
456,38
457,37
458,38
459,37
460,37
461,37
462,37
463,37
464,36
465,37
466,37
467,38
468,37
469,37
470,37
471,37
472,37
473,37
474,37
475,37
476,38
477,41
478,43
479,43
480,42
481,43
482,42
483,43
484,44
485,43
486,43
487,43
488,43
489,43
490,44
491,43
492,43
493,44
494,43
495,43
496,43
497,43
498,31
499,31
500,32
501,31
502,31
503,32
504,31
505,31
506,31
507,30
508,31
509,30
510,31
511,31
512,31
513,30
514,31
515,31
516,31
517,32
518,31
519,31
520,31
521,31
522,31
523,31
524,31
525,31
526,31
527,31
528,31
529,31
530,31
531,30
532,31
533,31
534,31
535,32
536,31
537,31
538,31
539,32
540,30
541,31
542,31
543,32
544,32
545,31
546,31
547,31
548,31
549,31
550,31
551,31
552,31
553,31
554,31
555,31
556,31
557,30
558,31
559,31
560,31
561,31
562,31
563,31
564,31
565,31
566,31
567,31
568,31
569,31
570,31
571,30
572,31
573,31
574,31
575,31
576,31
577,30
578,31
579,30
580,31
581,31
582,31
583,37
584,38
585,37
586,37
587,37
588,37
589,37
590,37
591,37
592,37
593,37
594,37
595,37
596,37
597,37
598,37
599,37
600,37
601,37
602,37
603,37
604,37
605,37
606,37
607,37
608,37
609,38
610,37
611,37
612,37
613,37
614,37
615,37
616,37
617,37
618,37
619,38
620,37
621,37
622,38
623,37
624,37
625,37
626,37
627,37
628,37
629,37
630,37
631,37
632,37
633,37
634,37
635,37
636,37
637,37
638,37
639,38
640,37
641,37
642,37
643,37
644,37
645,37
646,37
647,38
648,37
649,37
650,37
651,37
652,37
653,38
654,37
655,38
656,38
657,37
658,37
659,36
660,38
661,37
662,37
663,37
664,37
665,37
666,37
667,37
668,38
669,37
670,37
671,38
672,37
673,37
674,37
675,37
676,37
677,38
678,37
679,37
680,38
681,37
682,37
683,37
684,37
685,36
686,37
687,38
688,38
689,37
690,37
691,37
692,37
693,37
694,37
695,37
696,37
697,37
698,38
699,37
700,37
701,37
702,37
703,37
704,38
705,37
706,37
707,37
708,37
709,37
710,37
711,37
712,37
713,37
714,38
715,38
716,37
717,37
718,37
719,37
720,38
721,37
722,38
723,37
724,37
725,38
726,37
727,37
728,37
729,37
730,37
731,37
732,37
733,37
734,37
735,37
736,37
737,37
738,36
739,37
740,37
741,37
742,37
743,37
744,38
745,37
746,37
747,36
748,37
749,37
750,37
751,37
752,37
753,37
754,38
755,43
756,43
757,43
758,43
759,42
760,42
761,44
762,43
763,43
764,43
765,43
766,43
767,43
768,44
769,43
770,43
771,43
772,43
773,43
774,43
775,44
776,43
777,42
778,43
779,43
780,43
781,43
782,43
783,43
784,43
785,43
786,43
787,37
788,37
789,38
790,37
791,37
792,37
793,37
794,37
795,37
796,37
797,37
798,37
799,37
800,37
801,37
802,37
803,37
804,37
805,37
806,37
807,37
808,37
809,37
810,37
811,37
812,37
813,37
814,37
815,37
816,37
817,37
818,37
819,36
820,36
821,37
822,37
823,37
824,37
825,37
826,37
827,37
828,37
829,37
830,38
831,37
832,37
833,37
834,37
835,37
836,37
837,37
838,37
839,37
840,37
841,37
842,36
843,37
844,38
845,37
846,36
847,36
848,37
849,37
850,37
851,37
852,37
853,37
854,37
855,37
856,37
857,37
858,37
859,37
860,37
861,37
862,37
863,38
864,37
865,36
866,37
867,37
868,37
869,37
870,37
871,37
872,37
873,37
874,37
875,37
876,37
877,37
878,37
879,37
880,37
881,37
882,37
883,37
884,37
885,36
886,37
887,37
888,37
889,37
890,37
891,37
892,37
893,38
894,38
895,36
896,36
897,37
898,37
899,38
900,37
901,37
902,37
903,37
904,37
905,37
906,37
907,38
908,37
909,37
910,37
911,37
912,37
913,37
914,37
915,37
916,37
917,37
918,38
919,36
920,37
921,37
922,37
923,37
924,37
925,37
926,37
927,38
928,38
929,37
930,37
931,37
932,36
933,37
934,37
935,36
936,37
937,38
938,37
939,38
940,37
941,37
942,38
943,37
944,36
945,37
946,37
947,37
948,37
949,37
950,37
951,38
952,37
953,37
954,37
955,37
956,37
957,38
958,37
959,37
960,37
961,37
962,38
963,37
964,37
965,37
966,37
967,37
968,38
969,38
970,38
971,37
972,37
973,37
974,37
975,37
976,37
977,37
978,37
979,37
980,38
981,38
982,37
983,36
984,37
985,37
986,38
987,37
988,37
989,37
990,36
991,37
992,37
993,37
994,37
995,37
996,37
997,38
998,37
999,37
1000,37
1001,37
1002,37
1003,43
1004,43
1005,43
1006,43
1007,43
1008,43
1009,43
1010,43
1011,43
1012,43
1013,43
1014,43
1015,44
1016,43
1017,43
1018,43
1019,43
1020,44
1021,43
1022,43
1023,43
1024,43
1025,43
1026,43
1027,44
1028,43
1029,43
1030,43
1031,43
1032,43
1033,43
1034,43
1035,43
1036,44
1037,43
1038,43
1039,43
1040,43
1041,43
1042,43
1043,43
1044,43
1045,43
1046,43
1047,43
1048,43
1049,43
1050,43
1051,43
1052,43
1053,43
1054,43
1055,43
1056,43
1057,43
1058,43
1059,43
1060,43
1061,42
1062,43
1063,43
1064,43
1065,43
1066,43
1067,43
1068,43
1069,44
1070,43
1071,43
1072,43
1073,43
1074,44
1075,43
1076,43
1077,44
1078,43
1079,43
1080,43
1081,43
1082,44
1083,43
1084,43
1085,43
1086,44
1087,44
1088,43
1089,43
1090,44
1091,43
1092,43
1093,43
1094,43
1095,43
1096,43
1097,43
1098,43
1099,43
1100,43
1101,43
1102,43
1103,43
1104,43
1105,43
1106,43
1107,43
1108,43
1109,43
1110,43
1111,43
1112,43
1113,43
1114,43
1115,43
1116,43
1117,43
1118,43
1119,43
1120,44
1121,44
1122,43
1123,43
1124,43
1125,43
1126,43
1127,44
1128,43
1129,43
1130,43
1131,43
1132,43
1133,43
1134,43
1135,44
1136,43
1137,44
1138,43
1139,43
1140,43
1141,43
1142,43
1143,43
1144,42
1145,43
1146,43
1147,43
1148,43
1149,42
1150,44
1151,43
1152,43
1153,43
1154,43
1155,43
1156,42
1157,43
1158,43
1159,43
1160,43
1161,42
1162,37
1163,37
1164,37
1165,38
1166,37
1167,37
1168,37
1169,38
1170,37
1171,38
1172,37
1173,38
1174,37
1175,37
1176,37
1177,37
1178,37
1179,37
1180,37
1181,38
