Packages received with success,Response time [ms]
1,54
2,75
3,76
4,75
5,73
6,72
7,73
8,72
9,63
10,62
11,63
12,63
13,69
14,63
15,63
16,63
17,63
18,69
19,72
20,80
21,72
22,80
23,72
24,70
25,69
26,63
27,63
28,62
29,63
30,62
31,62
32,63
33,62
34,61
35,69
36,58
37,53
38,52
39,52
40,52
41,52
42,57
43,52
44,52
45,53
46,57
47,52
48,52
49,52
50,52
51,58
52,53
53,53
54,52
55,58
56,52
57,52
58,53
59,58
60,53
61,52
62,52
63,57
64,52
65,52
66,52
67,57
68,52
69,52
70,52
71,52
72,57
73,52
74,52
75,52
76,53
77,52
78,52
79,53
80,52
81,58
82,52
83,51
84,57
85,52
86,52
87,57
88,52
89,53
90,52
91,57
92,51
93,52
94,52
95,52
96,52
97,53
98,57
99,52
100,52
101,52
102,52
103,57
104,51
105,51
106,51
107,52
108,52
109,52
110,52
111,52
112,57
113,52
114,51
115,57
116,52
117,51
118,51
119,56
120,51
121,51
122,52
123,57
124,52
125,51
126,52
127,51
128,56
129,51
130,51
131,52
132,57
133,52
134,51
135,52
136,57
137,52
138,52
139,51
140,57
141,52
142,52
143,52
144,52
145,52
146,52
147,57
148,52
149,52
150,52
151,57
152,52
153,51
154,52
155,51
156,57
157,52
158,52
159,52
160,52
161,52
162,51
163,51
164,52
165,57
166,51
167,52
168,52
169,56
170,51
171,52
172,52
173,52
174,57
175,52
176,51
177,51
178,52
179,51
180,52
181,52
182,57
183,52
184,53
185,52
186,62
187,62
188,62
189,62
190,62
191,61
192,61
193,62
194,62
195,61
196,62
197,68
198,62
199,61
200,61
201,61
202,68
203,61
204,62
205,62
206,61
207,68
208,62
209,62
210,69
211,62
212,61
213,71
214,80
215,72
216,72
217,72
218,72
219,72
220,72
221,72
222,72
223,72
224,79
225,71
226,72
227,72
228,72
229,79
230,73
231,72
232,72
233,79
234,72
235,72
236,79
237,72
238,72
239,72
240,72
241,64
242,62
243,62
244,68
245,62
246,62
247,62
248,62
249,68
250,62
251,62
252,62
253,68
254,62
255,62
256,68
257,62
258,62
259,62
260,62
261,62
262,62
263,68
264,62
265,61
266,63
267,62
268,68
269,62
270,62
271,62
272,62
273,62
274,69
275,62
276,62
277,62
278,62
279,68
280,62
281,63
282,62
283,68
284,61
285,62
286,62
287,62
288,68
289,62
290,62
291,69
292,62
293,62
294,68
295,62
296,62
297,62
298,62
299,62
300,62
301,62
302,62
303,69
304,62
305,62
306,62
307,68
308,62
309,62
310,69
311,62
312,63
313,62
314,62
315,68
316,62
317,62
318,62
319,68
320,62
321,61
322,62
323,62
324,68
325,62
326,61
327,67
328,61
329,62
330,62
331,69
332,62
333,62
334,62
335,62
336,62
337,62
338,62
339,62
340,62
341,62
342,69
343,62
344,61
345,61
346,62
347,68
348,61
349,62
350,62
351,68
352,62
353,62
354,62
355,68
356,62
357,61
358,62
359,62
360,62
361,62
362,62
363,62
364,68
365,62
366,62
367,61
368,62
369,61
370,61
371,68
372,62
373,61
374,62
375,62
376,62
377,62
378,62
379,62
380,68
381,62
382,62
383,62
384,67
385,62
386,62
387,62
388,68
389,52
390,52
391,52
392,57
393,51
394,52
395,57
396,52
397,52
398,53
399,52
400,52
401,52
402,52
403,52
404,52
405,52
406,57
407,51
408,52
409,52
410,51
411,56
412,51
413,51
414,52
415,57
416,51
417,52
418,52
419,57
420,52
421,51
422,51
423,51
424,57
425,52
426,52
427,57
428,52
429,51
430,62
431,68
432,61
433,61
434,61
435,68
436,61
437,61
438,62
439,68
440,61
441,62
442,61
443,68
444,62
445,62
446,68
447,62
448,62
449,61
450,61
451,68
452,62
453,62
454,62
455,68
456,61
457,62
458,61
459,62
460,61
461,62
462,61
463,61
464,67
465,61
466,61
467,62
468,62
469,68
470,62
471,62
472,68
473,62
474,62
475,62
476,61
477,62
478,61
479,61
480,67
481,62
482,61
483,62
484,62
485,68
486,61
487,61
488,61
489,61
490,68
491,61
492,61
493,62
494,67
495,71
496,71
497,71
498,71
499,71
500,72
501,78
502,71
503,72
504,72
505,78
506,72
507,72
508,78
509,71
510,67
511,69
512,63
513,62
514,62
515,62
516,68
517,63
518,62
519,62
520,62
521,61
522,61
523,62
524,68
525,62
526,62
527,62
528,62
529,63
530,62
531,62
532,68
533,62
534,63
535,62
536,69
537,62
538,61
539,68
540,62
541,62
542,62
543,62
544,80
545,73
546,72
547,71
548,79
549,71
550,72
551,72
552,72
553,79
554,72
555,71
556,72
557,73
558,79
559,72
560,72
561,73
562,72
563,72
564,72
565,72
566,72
567,80
568,72
569,72
570,73
571,71
572,72
573,72
574,72
575,51
576,58
577,52
578,52
579,53
580,57
581,52
582,52
583,52
584,57
585,52
586,52
587,52
588,52
589,57
590,52
591,52
592,52
593,53
594,58
595,52
596,52
597,52
598,52
599,57
600,52
601,52
602,52
603,52
604,57
605,52
606,53
607,52
608,57
609,52
610,52
611,57
612,52
613,52
614,52
615,52
616,52
617,52
618,53
619,57
620,53
621,52
622,52
623,52
624,58
625,52
626,53
627,52
628,52
629,58
630,52
631,52
632,52
633,52
634,52
635,52
636,52
637,57
638,52
639,53
640,52
641,57
642,52
643,53
644,52
645,57
646,52
647,52
648,52
649,58
650,52
651,52
652,52
653,57
654,52
655,51
656,52
657,52
658,58
659,52
660,53
661,52
662,57
663,52
664,52
665,52
666,52
667,52
668,62
669,62
670,62
671,68
672,61
673,62
674,68
675,62
676,62
677,62
678,62
679,68
680,62
681,62
682,61
683,55
684,52
685,52
686,58
687,52
688,51
689,52
690,52
691,52
692,52
693,52
694,52
695,57
696,52
697,51
698,51
699,56
700,51
701,52
702,51
703,51
704,57
705,52
706,51
707,52
708,56
709,51
710,51
711,51
712,51
713,52
714,56
715,51
716,51
717,51
718,51
719,56
720,51
721,51
722,51
723,52
724,51
725,51
726,51
727,51
728,56
729,52
730,52
731,52
732,57
733,51
734,52
735,51
736,56
737,51
738,51
739,57
740,52
741,52
742,51
743,52
744,57
745,52
746,52
747,52
748,52
749,57
750,52
751,52
752,52
753,56
754,51
755,51
756,52
757,57
758,52
759,51
760,52
761,52
762,57
763,52
764,52
765,51
766,57
767,52
768,52
769,70
770,78
771,71
772,72
773,71
774,72
775,71
776,72
777,79
778,72
779,72
780,72
781,71
782,72
783,72
784,79
785,72
786,72
787,72
788,79
789,72
790,72
791,79
792,72
793,71
794,72
795,79
796,71
797,71
798,71
799,71
800,62
801,68
802,62
803,61
804,62
805,62
806,62
807,68
808,61
809,61
810,54
811,52
812,51
813,51
814,56
815,51
816,52
817,52
818,56
819,51
820,52
821,56
822,51
823,52
824,51
825,52
826,52
827,57
828,52
829,51
830,52
831,52
832,56
833,52
834,52
835,51
836,52
837,56
838,51
839,51
840,52
841,57
842,52
843,52
844,51
845,52
846,57
847,52
848,52
849,52
850,52
851,57
852,51
853,57
854,52
855,57
856,52
857,57
858,52
859,52
860,52
861,52
862,57
863,52
864,52
865,52
866,58
867,52
868,52
869,52
870,52
871,57
872,52
873,52
874,52
875,52
876,57
877,52
878,52
879,52
880,57
881,52
882,52
883,52
884,51
885,57
886,51
887,52
888,57
889,52
890,51
891,62
892,62
893,69
894,62
895,62
896,68
897,62
898,62
899,62
900,62
901,68
902,62
903,57
904,51
905,51
906,52
907,51
908,57
909,52
910,51
911,52
912,52
913,57
914,52
915,57
916,51
917,52
918,52
919,52
920,56
921,52
922,52
923,57
924,51
925,52
926,58
927,52
928,52
929,57
930,52
931,52
932,52
933,57
934,52
935,52
936,62
937,68
938,62
939,62
940,62
941,68
942,62
943,62
944,62
945,62
946,62
947,62
948,62
949,62
950,62
951,62
952,62
953,62
954,61
955,61
956,62
957,62
958,62
959,62
960,68
961,62
962,61
963,62
964,62
965,62
966,62
967,68
968,62
969,62
970,68
971,62
972,63
973,62
974,62
975,68
976,62
977,62
978,62
979,62
980,68
981,61
982,62
983,62
984,62
985,62
986,62
987,62
988,68
989,63
990,61
991,61
992,62
993,68
994,62
995,62
996,62
997,62
998,68
999,62
1000,61
1001,61
1002,68
1003,62
1004,62
1005,61
1006,62
1007,67
1008,62
1009,62
1010,62
1011,62
1012,62
1013,62
1014,62
1015,68
1016,62
1017,63
1018,62
1019,61
1020,62
1021,72
1022,72
1023,79
1024,72
1025,72
1026,72
1027,72
1028,71
1029,72
1030,72
1031,72
1032,79
1033,72
1034,73
1035,72
1036,72
1037,72
1038,72
1039,72
1040,72
1041,79
1042,72
1043,72
1044,72
1045,79
1046,71
1047,71
1048,72
1049,72
1050,79
1051,71
1052,72
1053,72
1054,72
1055,79
1056,72
1057,72
1058,72
1059,72
1060,52
1061,52
1062,52
1063,52
1064,52
1065,52
1066,57
1067,52
1068,52
1069,52
1070,51
1071,52
1072,58
1073,52
1074,52
1075,51
1076,52
1077,57
1078,53
1079,52
1080,52
1081,53
1082,52
1083,52
1084,52
1085,52
1086,53
1087,52
1088,52
1089,52
1090,57
1091,52
1092,51
1093,52
1094,52
1095,56
1096,52
1097,52
1098,52
1099,70
1100,72
1101,72
1102,72
1103,72
1104,79
1105,72
1106,72
1107,71
1108,79
1109,72
1110,71
1111,72
1112,72
1113,78
1114,71
1115,71
1116,79
1117,71
1118,72
1119,72
1120,72
1121,79
1122,72
1123,73
